Station,Date,time,Q_m3/s_Trapazoid,Q_m2/s_nehemiah,Level_m_compensated,temp_w,lvl_m_stn1,lvl_m_stn3,Q_m3/s_Hach
1,7/10/2019,11:10,0.20705,0.03925,,,,,0.01184326
2,7/10/2019,12:00,0.08625,0.010425,,,,,0.0049335
3,7/10/2019,12:20,0.1356,0.04485,,,,,0.00775632
4,7/10/2019,12:55,0.1321,0.0201,,,,,0.00755612
1,7/11/2019,11:50,0.09935,0.00675,,,,,0.00568282
2,7/11/2019,12:15,0.0374,0.0044,,,,,0.00213928
3,7/11/2019,12:40,0.14055,0.039275,,,,,0.00803946
4,7/11/2019,13:05,0.066585,0.027405,,,,,0.003808662
3,7/15/2019,13:30,0.7078,0.06545,0.351691231,5.921,0.442,0.351691231,0.04048616
4,7/15/2019,13:10,0.65795,0.1087,0.351691231,5.921,0.4429,0.344186092,0.03763474
3,7/16/2019,13:15,0.22155,0.051075,0.234454022,6.308,0.0351,0.234454022,0.01267266
4,7/16/2019,13:35,0.201325,0.05055,0.235728672,6.585,0.0491,0.235728672,0.01151579
1,7/19/2019,14:10,0.10436,0.014345,0.1795,9.355,0.1795,0.185068983,0.005969392
3,7/19/2019,13:50,0.0807,0.0241,0.212397479,9.097,0.1764,0.212397479,0.00461604
4,7/19/2019,13:25,0.098875,0.0101875,0.185068983,9.594,0.1794,0.215976696,0.00565565
waterfall,7/19/2019,15:50,0.047695,0.01603,,,0.165,0.187638677,0.002728154
1,7/22/2019,15:25,0.23385,0.020525,0.1985,9.629,0.1985,0.241245358,0.01337622
3,7/22/2019,15:10,0.2071,0.0462,0.239756566,9.815,0.1987,0.239756566,0.01184612
4,7/22/2019,14:40,0.23025,0.026025,0.244539053,9.354,0.2126,0.244539053,0.0131703
1,7/24/2019,13:00,0.96885,0.060825,out of water,out of water,out of water,0.327554458,0.05541822
2,7/24/2019,13:16,0.656325,0.30699,out of water,out of water,out of water,0.337353968,0.03754179
3,7/24/2019,12:46,0.885075,0.1437,0.321680871,7,out of water,0.321680871,0.05062629
4,7/24/2019,12:30,0.719785,0.0999325,0.319447684,6.927,out of water,0.319447684,0.041171702
3,7/26/2019,11:30,0.22215,0.060475,0.244355504,7.382,0.2189,0.244355504,0.01270698
4,7/26/2019,11:19,0.2355,0.02805,0.244906152,7.238,0.2182,0.244906152,0.0134706
1,8/1/2019,15:30,0.05825,0.00605,0.1622,10.213,0.1622,0.165347598,0.0033319
3,8/1/2019,15:00,0.0416,0.01395,0.177033589,9.595,0.158,0.177033589,0.00237952
4,8/1/2019,14:30,0.07495,0.00765,0.176717476,9.691,0.157,0.176717476,0.00428714
1,8/2/2019,12:45,0.051625,0.005875,0.1549,9.328,0.1549,0.161176943,0.00295295
3,8/2/2019,12:30,0.04355,0.018575,0.1606059,8.848,0.1534,0.1606059,0.00249106
4,8/2/2019,12:15,0.052325,0.007075,0.161085168,8.77,0.1528,0.161085168,0.00299299
1,8/5/2019,15:45,0.113025,0.0114625,0.1983,9.58,0.1954,0.183070332,0.00646503
3,8/5/2019,15:30,0.12375,0.037525,0.195541507,10.295,0.1955,0.195541507,0.0070785
4,8/5/2019,15:15,0.16265,0.0198,0.198172385,10.152,0.1945,0.198172385,0.00930358
1,8/7/2019,10:43,0.0367,0.001975,0.1523,5.294,0.1523,0.159239475,0.0020919
3,8/7/2019,10:26,0.0413,0.01675,0.15557868,5.212,0.1504,0.15557868,0.0023541
4,8/7/2019,10:13,0.05645,0.006825,0.154140875,5.047,0.1483,0.154140875,0.00321765
1,8/8/2019,11:45,0.037,,0.1518,6.28,0.1518,0.1620641,0.0021164
3,8/8/2019,11:30,0.099175,,0.162329227,6.348,0.1572,0.162329227,0.00567281
4,8/8/2019,11:11,0.0537,,0.1657045,6.212,0.1513,0.1657045,0.00307164
1,8/9/2019,11:15,0.0544,,0.1363,5.633,0.1363,0.14683968,0.00311168
2,8/9/2019,11:45,0.0171,,0.1367,5.677,0.1367,0.145830157,0.00097812
3,8/9/2019,12:00,0.06445,,0.145259114,5.779,0.1364,0.145259114,0.00368654
4,8/9/2019,12:15,0.01632,,0.146625539,5.804,0.1362,0.146625539,0.000933504
1,8/13/2019,10:45,0.08676,,0.1383,4.904,0.1383,0.151917886,0.004962672
2,8/13/2019,11:10,0.0604,,0.1379,4.95,0.1379,0.154069495,0.00345488
3,8/13/2019,11:25,0.08043,,0.155272764,4.971,0.1391,0.155272764,0.004600596
4,8/13/2019,11:50,0.06339,,0.157332599,5.034,0.1399,0.157332599,0.003625908
