"","Site2","Lat","Lon","pCH4_w_uatm","pCO2_w_uatm"
"1","Waypt01",-0.327926748,-78.20042241,1886.02065384315,6445.49142310416
"2","Waypt03",-0.326281381,-78.20010507,143.348571165418,4722.08260883301
"3","waypt05",-0.326476721,-78.19944416,9421.67689199764,7414.44526679538
"4","waypt06",-0.326784505,-78.19940108,452.520177991483,2656.44479559089
"5","waypt07",-0.327040656,-78.19938566,1884.60026785422,1369.22070884463
"6","waypt08",-0.327188387,-78.19932849,703.839228422264,1159.56385523323
"7","waypt09",-0.327248527,-78.19988463,857.38140533733,11091.0527602193
"8","waypt10",-0.328094093,-78.20023206,151.09276357836,8467.77538134333
"9","waypt11",-0.326712588,-78.19979796,423.223834540567,7403.85829306231
"10","waypt12",-0.328265587,-78.20016811,4512.37760638537,3462.19582594453
"11","waypt13",-0.328201926,-78.19985798,1279.33735905534,7774.12136174421
"12","waypt14",-0.328201926,-78.19985798,92.8682093167265,4231.95703890442
"13","waypy04",-0.326323835,-78.19988681,0,902.138763241321
